"Uniprot_ID","pVal.WT","pVal.CKO","Baseline.WT","Baseline.CKO"
"A0A0A0MQD7",0.00270190432285782,0.827609960343759,20592.6974686981,23083.492777496
"A0A0A0MQE5",0.913031746461303,0.811855214251221,68892.1707857068,66548.1034115734
"A0A0A0MQN9",0.830431766717764,0.440429297816001,165126.440142869,183184.208723053
"A0A0A6YVR9",0.100774362197231,0.0694664732324573,47873.6950216963,51288.6736506539
"A0A0A6YVU8",0.0135739999042727,0.29829827452138,314865.914544738,286961.016562033
"A0A0A6YW06",0.0442401584856647,0.495864922110209,337295.75031816,369896.82442508
"A0A0A6YWB0",0.193254692690768,0.877144722544253,441963.171376096,389985.971566793
"A0A0A6YWH2",0.850245634684711,0.272800697789561,67004.4938156211,79853.4592060639
"A0A0A6YWP7",0.850324935079972,0.766910704642528,34818.9472775013,26621.5429628962
"A0A0A6YWX1",0.952398946011602,0.876380129353816,237922.025629426,213789.530158333
"A0A0A6YXG0",0.903880846456374,0.72799513167122,52079.171010322,51016.34017961
"A0A0A6YXR0",0.116615905643002,0.208260683664658,48883.7537187868,51924.1394769638
"A0A0A6YY83",0.029283003136243,0.225580931047276,575863.921294851,450369.31048686
"A0A0B4J1E2",0.23758923576523,0.591841069349747,486836.091928516,468949.169077454
"A0A0B4J1E3",0.862869792035581,0.920864249253615,104922.81859195,99458.3936281163
"A0A0B4J1E4",0.392168615948856,0.0365575901490996,80015.2459431242,71902.3432131222
"A0A0B4J1E5",0.746664886572883,0.641668019691176,59096.3609467803,53528.9916217441
"A0A0B4J1F0",0.183470021180777,0.0858779547074668,222790.739073977,539973.348348335
"A0A0F6AIX5",0.885087803859088,0.0181997645551084,166353.420186713,226629.466019578
"A0A0F7DDK0",0.0260236226386263,0.285276435875366,50365.6492792498,58111.1498460699
"A0A0G2JDP0",0.815018948446228,0.0557659031732938,22510.8144626133,24858.2371553576
"A0A0G2JDX9",0.866747564881038,0.0662378138178072,31428.9558960289,29204.136746454
"A0A0G2JE03",0.756815084858314,0.895637885256426,216675.869136402,217855.763559256
"A0A0G2JE32",0.561723535667834,0.824101460008814,167462.490041157,184122.225280266
"A0A0G2JEK2",0.0354386981131972,0.0228484938431872,1189031.6829042,263714.260069324
"A0A0G2JEP4",0.00721907775566076,0.607016481384356,160970.305927824,145937.474886493
"A0A0G2JFJ6",0.915409862729841,0.246938846089102,197290.426698612,197243.244752368
"A0A0G2JFV3",0.850599125908864,0.770001623629411,178178.795660064,259798.927575562
"A0A0G2JFZ4",0.871484037109574,0.494284849127261,230522.366685621,202906.624312287
"A0A0G2JGD2",0.72799513167122,0.151551123865339,462338.45209653,314354.930501916
"A0A0G2JGP4",0.0608792007910608,3.26674889704165e-06,294408.060148178,307237.872654702
"A0A0G2JGQ6",0.870158407393465,0.0068489271824314,243862.519710131,365529.864775261
"A0A0H2UH19",0.734843102948532,0.890800730249317,101678.944577094,99561.0802358478
"A0A0J9YTU3",0.912800745460231,0.884466623994085,678808.667588197,575022.138326049
"A0A0J9YTY0",0.429749338742636,0.00530871815600329,1831716.7657253,2920630.61578855
"A0A0J9YU62",0.0871677998508062,0.29829827452138,229830.03478068,241451.037957387
"A0A0J9YUG5",0.883289140049514,0.749401785025603,104156.653411702,62946.4588430948
"A0A0J9YUQ8",0.737409569861947,0.823724001411635,75985.9988974382,132337.583018862
"A0A0N4SUH8",0.549768879023252,0.859097403515674,154092.234054505,177517.250251292
"A0A0N4SUI7",0.388844408790848,0.474232292692851,57167.9930425016,72806.6206970903
"A0A0N4SV80",0.873594158005464,0.808539956622952,242850.003555571,193337.626557588
"A0A0N4SVC2",0.0950353377183359,0.168634212312815,319352.960785643,287927.050707065
"A0A0N4SVL0",0.756815084858314,0.82636944454159,485203.676824558,374680.072264197
"A0A0N4SW28",0.127756443672724,0.125129946905195,50734.5280918164,50538.6196599841
"A0A0N4SW73",0.397321737367536,0.877148190706734,200753.857222525,210356.310549343
"A0A0N4SW93",0.936010159226986,0.849999572729102,36036.6313752832,29830.757421398
"A0A0N4SWG7",0.903790446170931,0.00139817309992927,174210.250445482,249517.55718237
"A0A0R3P9C8",0.493668748671907,0.000193467392346384,646354.081491375,638285.695037854
"A0A0R4IZW8",0.396163177734804,1.69422933441686e-05,1037866.79924847,883151.641055354
"A0A0R4IZX2",0.543345965630819,0.0322663436536382,168370.295933565,133812.099370288
"A0A0R4IZY0",0.394049019571437,0.0395193577244042,1603420.06531891,1555602.62477958
