"Uniprot_ID","Protein_names","Gene_names","pVal","WT_Relative_amplitudes","phase","peak.shape","period","X1.WT1","X2.WT1","X3.WT1","X4.WT1","X5.WT1","X6.WT1","X7.WT1","X8.WT1","X9.WT2","X10.WT2","X11.WT2","X12.WT2","X13.WT2","X14.WT2","X15.WT2","X16.WT2","X17.WT3","X18.WT3","X19.WT3","X20.WT3","X21.WT3","X22.WT3","X23.WT3","X24.WT3"
"Q9DC36","Flotillin-2","Flot2",0.018806423373612,0.12788534661089,24,12,24,885423.799211183,951441.147119337,922939.892504536,876503.09550581,845455.040720902,856477.213113511,922072.352986015,933701.904084912,982380.130121908,960125.55791473,936863.837819934,911538.922906586,980969.372653281,932270.317741941,986766.622886789,1002823.38736178,965390.84872783,958155.170882595,965075.924752299,928271.438574901,927014.337992181,946828.291080296,955919.432054556,967748.802103464
"Q60960","Importin subunit alpha-5;Importin subunit alpha-5, N-terminally processed","Kpna1",0.0342496971548685,0.175732429369741,21,12,24,214187.095777671,228071.883423737,218756.624893602,231405.412781944,240727.641268617,217695.035076267,223204.09652596,224569.434794666,228176.627953861,219591.33543858,222114.655436066,206782.112850492,225190.62447758,225787.396089072,233102.685959242,231249.034477992,228924.651000202,217983.092156347,197224.583198454,205468.581070218,216280.12373665,225134.699669107,231713.176676497,225295.325533381
"Q6P551","Frizzled-7","Fzd7",0.000128942355842047,0.137926055592595,6,9,24,168764.156735479,180181.987041992,165249.957081444,179404.203606094,158389.932414154,174040.05419505,163614.988201188,181291.830066447,178605.351104239,182427.438729798,171387.867806648,172714.637405699,163758.43337223,171795.660814929,176423.833812069,183506.413249116,177881.194787921,183320.073614284,163982.504622172,173157.284530817,161614.871023317,167643.371515722,171772.02201182,177933.143528627
"Q61102","ATP-binding cassette sub-family B member 7, mitochondrial","Abcb7",0.0114242469215936,0.272633198308877,24,9,24,69565.9215641322,71873.5348781725,75280.4096570749,74939.087955727,70951.3559975627,72218.1999138868,77275.6735119618,74967.9280222928,73478.6348956924,74029.2976047825,70723.4802141791,69191.1108106092,74443.803578829,78771.0518898367,76741.7672981708,82339.443769598,69227.1272368842,73314.3998834987,62896.9299771629,74317.384282649,69756.1729336929,82730.8345730747,76154.6558345064,77335.6811760329
"Q61107","Guanylate-binding protein 4","Gbp4",0.0413752025293762,0.257756057311637,15,18,24,183807.230885398,194699.751686425,186657.715495751,201035.889607217,204803.793216393,197673.476127501,210649.508666952,212924.276586243,193042.592727761,186353.295957572,184795.727729881,186056.750448091,199271.864900111,224165.770633109,207268.808853002,208917.225365296,204432.484072065,207912.366141846,181928.010668144,232593.175795006,210172.871943675,194233.103398767,189052.723579877,199140.782411348
"Q61554","Fibrillin-1","Fbn1",0.0174543570067815,0.477655367714811,21,15,24,3325193.32081893,4184779.83301397,3995579.34172144,2433766.0130091,2879094.6684683,3025680.0063544,4215750.71919184,4382441.98079669,4335411.09148587,3154206.60505185,3934796.87590355,3422456.72226151,4256389.12116642,4595140.53420208,4856105.48480023,5410578.91566177,3728541.23894879,4038470.41912204,4220027.42189492,4309368.2348694,3939275.03951835,5337985.38623947,4476397.03539205,4703544.64870395
"Q61592","Growth arrest-specific protein 6","Gas6",0.00137195067784413,0.341529921546791,21,12,24,27397.6382333271,28569.827564817,26513.5985470887,33231.9680641051,28287.4696281227,27555.4751269983,30116.3216644893,27507.565797514,26567.0973737442,26799.027859319,24790.5185706446,25966.4020715465,26655.864237431,26863.2571287131,34330.3761672323,29329.8087576907,27657.9842077889,33076.4779971197,25591.5538540234,27485.881503518,27839.4817943279,29581.8896553571,27731.2914022303,29942.4274782527
"Q61712","DnaJ homolog subfamily C member 1","Dnajc1",0.0224790350058384,0.189105353906247,24,15,24,300237.958879399,339762.10932437,304994.539680561,262620.048517927,275815.905451632,272089.547386787,304939.680167072,310349.370833672,285782.977419163,304153.70240272,280994.388012739,287766.430121356,288170.248089704,300373.180467535,304643.041779048,325090.202116115,288494.562635473,298839.818306099,268311.410887104,293408.958252048,277687.23336825,300038.15988872,287793.192844319,291458.759698979
"Q61730","Interleukin-1 receptor accessory protein","Il1rap",0.0217378548075088,0.18544659200351,24,9,24,34538.008251157,32294.3214281809,31876.7928978649,32206.557929923,35444.0841645733,33176.0348582957,31881.4769664071,35696.7954607725,33634.5933162043,32556.1736667866,32702.425778435,32604.2684082161,36193.9758756484,34706.517618181,38644.1758087945,37572.7151117339,38932.3884078961,37491.163423266,34014.8834068865,36840.0417110583,36921.9775019623,38126.3043424356,41686.4860480581,39109.6520751745
"Q62181","Semaphorin-3C","Sema3c",0.00511297649713709,0.134881420500179,24,12,24,173650.183010886,171209.008856047,170106.437863872,164322.259024916,171598.971056346,173567.755613375,175360.230360761,182446.154421312,186009.496117521,184833.994994095,179901.28623211,174017.54811008,180949.468002738,187090.521801938,187665.836436683,191962.030344197,174092.077471444,171670.246685031,165530.166327117,169968.599330649,159924.002698655,176457.32182423,173092.154404227,174185.44559989
"Q64449","C-type mannose receptor 2","Mrc2",0.000273004674872163,0.146644974831668,24,12,24,1175208.17873082,1238138.9061601,1203878.52167766,1104466.60444145,1155651.22187527,1121590.6701375,1212497.66185894,1215449.83083139,1162323.60651291,1112205.15994843,1106435.22903297,1079750.2438955,1140564.74550341,1131986.79846706,1209250.45468955,1246458.8181845,1143195.71448297,1162279.54875813,1122095.40732784,1138815.14383933,1134936.86070692,1193113.16206362,1152975.73646628,1166396.48720852
"Q69ZN7","Myoferlin","Myof",0.00243292273353052,0.125449713820671,21,18,24,8633986.86899343,9075429.31269399,8956739.17913608,8163964.8054129,8123117.91754255,8104062.13660225,9000585.93518259,9044207.74065805,9020361.22441556,8615890.81655882,8537984.32529658,8458501.12111413,8941552.13651708,8898884.00260862,9382689.55111925,9491510.57737611,8832920.47330042,8946870.96782661,8722164.88541031,8955190.2434708,8633514.04890349,9155013.22985644,9027163.94440877,9019611.38799226
"Q69ZX6","MORC family CW-type zinc finger protein 2A","Morc2a",0.0329433785282733,0.128587909924826,18,9,24,27633.4048980069,30016.7140109703,28641.0690790979,27802.569085837,27734.9896302487,30422.5931503955,29441.4679069294,28971.8041077672,27486.7441599424,29887.4301468416,28909.4622978255,29653.1689755778,31401.1214752426,31710.0680479961,29670.4506806789,30684.3917738198,28205.6233639935,29703.0196959225,28495.2533719345,30573.712704752,31911.6452203814,29510.5897405572,28653.9948503581,29436.6257712721
"Q6DID7","Protein wntless homolog","Wls",0.0119795732223348,0.184929533667436,24,15,24,170233.556773674,183404.157027404,175788.299321111,146272.546858813,146005.405543161,143205.836514932,167272.647652734,167537.552280237,165719.901684522,166107.837709045,153833.196680775,151313.602019676,159332.577573372,165247.517577148,164631.098527696,174606.764584711,165559.976492605,169183.71951684,161390.839468408,169749.880201117,156370.362922016,170669.447210627,173478.863891421,170167.460070058
"Q6GYP7","Ral GTPase-activating protein subunit alpha-1","Ralgapa1",0.00724595160250293,0.572809790264021,15,12,24,50698.6128095379,41220.2047793133,62912.5664830563,59392.0151261333,78258.5794561401,55858.880508184,52181.2736634679,46310.4460943794,52444.4054110417,58029.4971961186,57879.4815373652,63827.0475406714,65317.7515590051,72278.3273747481,59188.9700112678,58999.5089359128,62195.0233903113,61631.8326659625,69533.8327199115,68217.716826897,66355.048030515,69888.6019358972,58679.8999990795,63227.9544370718
"Q6P9J9","Anoctamin-6","Ano6",0.00189258119500537,0.206247742219402,24,15,24,969407.850120534,1114906.84561268,974248.238616438,1019978.31990808,926055.520908146,1011191.91553989,1000220.84272488,1130627.25372963,1046271.21552711,1033547.52898618,997584.367853346,958297.823582258,1021511.1379935,1037749.88970469,1047829.74522277,1071768.59103821,1048003.70582317,1052300.95059724,1020968.60411988,1049716.30811236,1002454.83357766,1033981.39390514,1037781.02785015,1092420.76474599
"Q6PA06","Atlastin-2","Atl2",0.0231815048497708,0.203750760356217,21,15,24,201386.868449293,226260.190910159,202819.330643523,193783.62583403,203890.759346662,194692.947631017,220921.222034537,214371.827464883,195205.77290276,184357.904567407,181113.303895793,176597.95900311,196365.03662829,192948.869309823,207898.135940356,212123.566188745,197895.889071463,211480.660269416,200822.064837746,199811.759114282,202587.338426983,200635.557325331,207369.950560993,200621.639694337
